"","Name","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"549","Ryan Goins",3000,-1.364,0.86,-1.376,-1.369,0.837,-4.468,2.025,6.493,0.049,0.023,0.016
"550","James McCann",3000,-0.701,0.924,-0.679,-0.707,0.936,-3.924,2.671,6.595,0.047,-0.054,0.017
"551","Starlin Castro",3000,-0.212,0.853,-0.212,-0.214,0.856,-3.226,3.205,6.43,0.046,0.002,0.016
"552","DJ LeMahieu",3000,-0.731,0.993,-0.73,-0.736,0.994,-4.061,2.736,6.797,0.046,-0.046,0.018
"553","Greg Garcia",3000,-0.561,0.826,-0.564,-0.564,0.801,-3.408,2.643,6.051,0.045,0.025,0.015
"554","Christian Villanueva",3000,-0.217,0.649,-0.221,-0.222,0.66,-2.292,1.949,4.242,0.044,-0.068,0.012
"555","Tim Beckham",3000,0.218,1.068,0.195,0.212,1.082,-4.157,4.453,8.61,0.042,0.034,0.02
"556","Russell Martin",3000,-0.359,0.955,-0.375,-0.363,0.967,-3.89,2.686,6.576,0.042,-0.106,0.017
"557","Jeff McNeil",3000,-0.22,0.667,-0.24,-0.222,0.659,-2.662,1.932,4.594,0.04,0.048,0.012
"558","Victor Martinez",3000,1.136,1.176,1.117,1.128,1.189,-2.905,5.075,7.981,0.038,-0.095,0.021
"559","Amed Rosario",3000,-0.616,0.604,-0.623,-0.617,0.602,-2.678,1.746,4.425,0.036,0.11,0.011
"560","Robinson Cano",3000,1.149,1.086,1.132,1.143,1.075,-2.724,5.005,7.729,0.035,0.013,0.02
"561","Sean Rodriguez",3000,-0.466,0.745,-0.46,-0.468,0.746,-3.333,2.182,5.515,0.033,0.078,0.014
"562","Joc Pederson",3000,0.771,1.002,0.774,0.765,1.025,-3.053,3.973,7.026,0.032,-0.112,0.018
"563","Jordy Mercer",3000,-0.811,0.806,-0.804,-0.813,0.807,-3.298,1.846,5.144,0.031,-0.06,0.015
"564","Anthony Rendon",3000,0.986,1.075,0.985,0.983,1.084,-2.667,4.882,7.549,0.029,-0.04,0.02
"565","Lorenzo Cain",3000,-0.081,0.902,-0.057,-0.082,0.902,-3.055,3.183,6.238,0.029,0.024,0.016
"566","Willson Contreras",3000,0.542,1.001,0.552,0.539,1.005,-2.614,3.521,6.135,0.028,-0.1,0.018
"567","Mark Reynolds",3000,0.302,0.993,0.313,0.297,0.993,-3.306,3.672,6.978,0.026,-0.014,0.018
"568","Manny Pina",3000,-0.667,0.753,-0.663,-0.667,0.745,-3.798,2.514,6.312,0.017,0.143,0.014
"569","Gerardo Parra",3000,-1.15,0.925,-1.146,-1.152,0.915,-4.04,2.038,6.079,0.016,-0.02,0.017
"570","Carlos Santana",3000,4.527,1.405,4.537,4.526,1.389,-0.036,9.135,9.171,0.015,-0.006,0.026
"571","Brandon Belt",3000,1.446,1.036,1.439,1.445,1.009,-2.076,5.235,7.311,0.01,-0.004,0.019
"572","Jose Ramirez",3000,0.975,1.08,0.978,0.973,1.113,-3.135,5.308,8.443,0.009,-0.014,0.02
"573","Brandon Drury",3000,-0.475,0.822,-0.467,-0.475,0.837,-3.452,2.285,5.738,0.005,-0.059,0.015
"574","Kris Bryant",3000,6.703,1.556,6.698,6.702,1.56,1.692,12.381,10.689,0.003,-0.078,0.028
"575","Kendrys Morales",3000,2.477,1.243,2.453,2.476,1.233,-1.79,6.551,8.341,0.003,-0.059,0.023
"576","Jose Bautista",3000,2.136,1.214,2.135,2.137,1.211,-2.074,7.307,9.381,0.001,0.017,0.022
"577","Ian Kinsler",3000,0.117,0.937,0.127,0.118,0.94,-3.059,3.573,6.632,-0.018,-0.01,0.017
